16;Сет “УЧЕБА ” 📚;"🍕Пицца 4 сезона 25см
                  🍗Крылышки 8шт
                  🍣Филадельфия 10шт
                  🍣Бонито с Лососем 10шт
                  🍣Калифорния Темпура 10шт
                  🍣Цезарь Темпура 10шт
                  🍣Аляска с кунжутом 10шт
                  🍣Чизз Маки 10шт
                  🥤Coca-cola 1 литр";7992;https://sc01.chocofood.kz/hermes/food/fa36a1b7-00af-44f8-9957-08585053a0b9;3;0
17;Cет “ДЕКАБРЬ ” 📚;"🍕 Пицца 4 сезона 25см
                  🍕Пицца Маргарита 25см
                  🍕Пицца Пепперони 25см
                  🍣Филадельфия 20шт
                  🍣Калифорния 20шт
                  🍣Цезарь Темпура 20шт
                  🍣Бонито с Лососем 10шт
                  🍣Калифорния Темпура 20шт
                  🍣Аляска 10шт
                  🥤Coca-cola 2 литр";13992;https://sc01.chocofood.kz/hermes/food/cdd72565-1409-4bf1-a9be-e9ec7303e582;3;0
18;"Сет ""FANTASY""";"🍗Крылышки 5 шт, 🍣Цезарь Темпура 10 шт, 🍣Лосось Темпура 10 шт, 🍣Цезарь Запечённый 10 шт, 🍣Каппа
                  Запечённый 10 шт, 🍗Курочка в кисло-сладком соусе 1 порция";6080;https://sc01.chocofood.kz/hermes/food/eeca7c37-e37c-4028-bc0f-bb5d64dcf678;3;0
19;"Сет ""Ok Google""";4 сезона 25см, Крылышки 15шт, Калифорния темпура 10шт, Чипс ролл 10шт, Картофельные дольки 1 порц;5592;https://sc01.chocofood.kz/hermes/food/c661dc3d-002a-4977-8faa-b8fa01fda8c3;3;0
20;"Сет ""Сакура""";Пепперони 25см, Цезарь запечённый 20шт, Сырные палочки 6шт, Крылышки 5шт, Фри 1пор;5592;https://sc01.chocofood.kz/hermes/food/2fcab8f1-6c4e-4962-9b92-263e31deb005;3;0
21;"Сет ""Малибу""";"🍕Пицца ""Пепперони"" 25 см
                  🍕Пицца ""4 сезона"" 25 см
                  🍕Пицца ""Сырная"" 25 см
                  🍣Цезарь Запечённый 10 шт
                  🍣Калифорния Запечённая 10 шт
                  🍣Калифорния Фреш 10 шт";8790;https://sc01.chocofood.kz/hermes/food/b9493450-b4a9-4516-bdd3-5d743dc9e005;3;0
22;"Сет ""Монако""";"Пицца Маргарита/Пепперони 30 см
                  🍣Калифорния запеченная 10 шт
                  🍣Фила Гейша 10 шт
                  🍣Ролл Чинабо 8 шт
                  🍣Лосось Темпура 10 шт";6090;https://sc01.chocofood.kz/hermes/food/8a9e0ea8-5053-4c35-ae5d-fcd79f898ebb;3;0
23;"Сет ""Сицилия"" (6 пицц + кола 1L)";"- Пицца ""Маргарита"" 25 см
                  - Пицца ""Пепперони2 25 см
                  - Пицца ""Грибная"" 25 см
                  - Пицца ""Цезарь"" 25 см
                  - Пицца ""Сырная"" 25 см
                  - Пицца с курицей 25 см
                  - Кола 1 л";9990;https://sc01.chocofood.kz/hermes/food/a6cf3ba4-df13-4944-ad15-3361f5719a22;3;0
24;Сет «Великолепная восьмёрка» (8 пицц+ кола 2L);"- Пицца ""Ассорти"" 25 см
                  - Пицца ""Пепперони"" 25 см
                  - Пицца ""Маргарита/Пепперони"" 25 см
                  - Пицца ""Грибная"" 25 см
                  - Пицца ""Цезарь"" 25 см
                  - Пицца ""Сырная"" 25 см
                  - Пицца с фаршем 25 см
                  - Пицца с курицей 25 см
                  - Кола 2 л";11990;https://sc01.chocofood.kz/hermes/food/4afe08ab-6042-4f18-b9b6-f83bcd89a2f0;3;0
25;"Сет ""Хан""";"4 Пиццы, 200 шт суши:
                  - Пицца ""Цезарь""
                  - Пицца ""Пепперони""
                  - Пицца ""Маргарита""
                  - Пицца ""Пепперони""
                  - Филадельфия 30шт
                  - Филадельфия гриль 10шт
                  - Калифорния Red 10шт
                  - Калифорния Black 10шт
                  - Цезарь Темпура 20шт
                  - Лосось Темпура 20шт
                  - Цезарь Запечённый 20шт
                  - Айс ролл 20шт
                  - Сяке Маки 10шт
                  - Каппа Маки 10шт
                  - Coca-Cola 2 литра";25280;https://sc01.chocofood.kz/hermes/food_new/a/a41356dc-f5be-4afe-bee3-085f3a5f9680.jpeg;3;0
