0;Fortunepizza 🛵;;;https://sc01.chocofood.kz/hermes/restaurant/6830a753-feed-4c23-865c-df6615650de1;85;600;0
1;SUSHIеды;;;https://sc01.chocofood.kz/hermes/restaurant/689f6339-2a3c-4f36-a36a-db3014a066e7;75;600;0
2;Тануки;;;https://sc01.chocofood.kz/hermes/restaurant/0762e572-27cd-4a43-b40e-7d34c6fae856;65;600;0
3;FARШ Restopark ❤️;;;https://sc01.chocofood.kz/hermes/restaurant/bae34525-cf5c-489e-9f58-cbd37f1c750d;45;600;1
4;Pizza Pizza на Байшешек;;;https://sc01.chocofood.kz/hermes/restaurant/9dd2d498-4072-4868-8b23-4a8b31aa85cc;35;600;1
