5;Burger King Арман;;;https://sc01.chocofood.kz/hermes/restaurant/03f85e55-094c-4d36-bfc8-9723231c08e9;35;600;1
6;Rumi Нурлы Тау;;;https://sc01.chocofood.kz/hermes/restaurant/505fb3f9-6248-4ffd-9ec3-4075d2b9a25c;35;600;8
7;As-Qazan Ritz Palace;;;https://sc01.chocofood.kz/hermes/restaurant/5ca9f698-6217-455e-b4ee-d5b5c8c0bf21;45;600;8
8;Бешбармак Mimoza Group;;;https://sc01.chocofood.kz/hermes/restaurant/32c2c9d1-4798-49e6-b7a1-f5f8bcdb917d;75;600;8
